Word,Tier,Dictionary Concept,"User ""Answer"" Keywords (Matching Web)",Notes
,Unicorn,To discover a mineral,"gold, oil, vein, digging, find, fortune",
Current,Common,Happening right now,"present, today, modern, contemporary, latest, news",
,Common,Flow of water or air,"river, tide, stream, wind, pull, undertow",
,Niche,Flow of electricity,"voltage, amps, wire, power, circuit, charge",
,Rare,Generally accepted/known,"opinion, thought, ""current thinking,"" popular",
,Unicorn,Small dried fruit (Currant*),"raisin, berry, scone, baking, grape, dried",
,Unicorn,Movement of a crowd,"flow, people, direction, momentum, mass",
Spring,Common,The season after winter,"march, flowers, bloom, april, equinox, nature",
,Common,A coiled metal object,"suspension, mattress, bounce, tension, elastic",
,Niche,To jump or leap,"pounce, lunge, sudden, vault, hop",
,Rare,A natural water source,"fountain, well, aquifer, geyser, fresh-water",
,Unicorn,To set a trap,"trigger, mechanism, mouse-trap, release",
,Unicorn,To originate from,"source, arise, ""spring forth,"" stem-from",
Table,Common,Piece of furniture,"desk, dining, kitchen, legs, wood, surface, stand",
,Common,A data chart/grid,"rows, columns, spreadsheet, excel, graph, info",
,Niche,To postpone a discussion,"delay, put off, sidle, defer, parliamentary, meeting",
,Rare,Flat mountain/landform,"plateau, mesa, flat-top, geography, formation",
,Unicorn,Mathematical multiplication,"times-tables, math, learning, factors, school",
,Unicorn,A gaming/gambling station,"roulette, casino, dealer, felt, stakes, chips",
Point,Common,To gesture/indicate,"finger, show, direction, aim, gesture, look",
,Common,The tip of a sharp object,"needle, pencil, knife, end, sharp, apex, spike",
,Niche,Scoring unit in a game,"points, goal, basket, tally, score, win",
,Rare,A specific moment in time,"instant, juncture, period, ""at this point,"" stage",
,Unicorn,A piece of land in water,"peninsula, cape, headland, coast, promontory",
,Unicorn,Measurement for font size,"typography, pica, print, text-size, 12pt, inch",
Ball,Common,Spherical sports object,"soccer, baseball, round, play, toy, sphere",
,Common,A lavish formal dance,"gala, debutante, gown, Cinderella, waltz, party",
,Niche,Pitch outside strike zone,"baseball-walk, umpire, count, outside, pitch",
,Rare,Part of the foot/hand,"sole, thumb, anatomy, padding, arch, step",
,Unicorn,Projectile for a firearm,"musket, cannon, bullet, ammo, black-powder",
,Unicorn,A ball of yarn/string,"clew, twine, wool, roll, lump, bundle",
Bank,Common,Financial institution,"money, cash, teller, vault, deposit, loan",
,Common,The side of a river,"shore, edge, water, mud, embankment, slope",
,Niche,A row of objects (buttons),"switches, lights, panel, console, set, array",
,Rare,To tilt during a turn,"airplane, curve, lean, angle, flight, banking",
,Unicorn,To rely or depend on,"trust, ""bank on it,"" count on, bet, believe",
,Unicorn,A reserve of resources,"blood-bank, data-bank, seed, storage, supply",
Case,Common,A protective container,"box, shell, housing, phone-case, sleeve, cover",
,Common,A legal or police matter,"lawsuit, trial, investigation, detective, court",
,Niche,A medical patient/instance,"illness, disease, flu, patient, occurrence, sample",
,Rare,A box of 12 or 24 items,"bulk, soda, beer, unit, dozen, quantity, purchase",
,Unicorn,To scout/examine for a crime,"survey, ""case the joint,"" watch, prep, robbery",
,Unicorn,Grammatical category,"nominative, accusative, syntax, linguistics, form",
Bar,Common,A place to buy drinks,"pub, tavern, saloon, counter, alcohol, bartender",
,Common,A long solid object,"rod, pole, iron, steel, block, chocolate, soap",
,Niche,To block or prevent,"obstruct, ban, forbid, prohibit, exclude, barricade",
,Niche,The legal profession,"lawyer, attorney, courtroom, exam, ""The Bar,"" counsel",
,Rare,A unit of music,"measure, rhythm, beat, staff, sheet music, timing",
,Unicorn,A unit of pressure,"physics, weather, barometer, metric, pascal, force",
Cell,Common,Biological unit of life,"organism, microscopic, skin, blood, nucleus, biology",
,Common,A prison room,"jail, inmate, confinement, bars, lockup, prisoner",
,Niche,A mobile phone,"cellphone, call, mobile, wireless, device, telecom",
,Niche,A spreadsheet box,"Excel, grid, data, column, row, entry, software",
,Rare,An electric battery unit,"energy, power, fuel-cell, electrolyte, solar, storage",
,Unicorn,A small extremist group,"underground, sleeper-cell, terrorist, clandestine",
Mask,Common,A face covering,"costume, disguise, protection, surgical, halloween",
,Common,To hide or conceal,"cover up, camouflage, obscure, veil, disguise (Verb)",
,Niche,A beauty treatment,"skincare, facial, mud, spa, pores, clay",
,Rare,To block out a scent/taste,"flavor, seasoning, neutralize, perfume, odor",
,Unicorn,Digital editing/Photoshop,"layer, transparency, selection, cutout, graphics",
,Unicorn,A fencing protector,"sword, sport, mesh, foil, epee, helmet",
Mouth,Common,Part of the face,"teeth, lips, eating, speak, oral, tongue",
,Common,Opening of a river,"estuary, delta, sea, flow, exit, outflow",
,Niche,Opening of a jar/bottle,"rim, top, lid-area, neck, container",
,Rare,To move lips without sound,"mimic, silent, lip-sync, ""mouthing words""",
,Unicorn,Entrance to a cave or tunnel,"opening, portal, cavern, abyss, maw",
,Unicorn,Insolent talk (Slang),"sass, attitude, talking back, cheeky, ""mouthing off""",
Order,Common,Request for food/goods,"restaurant, purchase, shipping, buy, menu, delivery",
,Common,Neatness/Organization,"arrangement, tidy, sequence, structure, method",
,Niche,A command or instruction,"directive, boss, military, law, decree, tell",
,Rare,A social or religious class,"monks, knighthood, fraternity, ""Order of X,"" society",
,Unicorn,Biological classification,"taxonomy, family, genus, species, kingdom",
,Unicorn,A courtroom demand,"judge, ""Order in the court,"" gavel, silence, ruling",
Mine,Common,Personal possession,"my, belongs to me, ownership, pronoun, self",
,Common,A hole for digging ore,"coal, gold, tunnel, excavation, quarry, shaft",
,Niche,An explosive device,"landmine, naval mine, weapon, bomb, trigger",
,Rare,To extract information,"data-mining, research, digging for facts, analyze",
,Unicorn,To burrow (Animals/Insects),"mole, tunneling, pests, leaves, ""leaf miner""",
Key,Common,Metal lock opener,"latch, bolt, unlock, house key, car key, skeleton",
,Common,Crucial or important,"essential, primary, main, vital, ""the key factor""",
,Niche,Musical pitch/scale,"major, minor, C-major, sharp, flat, tonic, tune",
,Niche,Computer/Typewriter button,"keyboard, enter, shift, typing, peripheral",
,Rare,A low-lying island,"cay, Florida Keys, reef, coral, islet, tropical",
,Unicorn,A map legend,"index, guide, symbols, reference, chart-key",
School,Common,Place of education,"college, university, classroom, learning, teacher",
,Common,A group of fish,"aquatic, swimming together, shoal, marine, pod",
,Niche,To train or discipline,"instruct, ""schooling someone,"" educate (Verb), drill",
,Rare,A style of thought/art,"movement, ""school of thought,"" impressionism, theory",
,Unicorn,To win decisively (Slang),"dominated, ""got schooled,"" defeated, outplayed",
Watch,Common,To look at or observe,"view, see, monitor, spectate, stare, witness",
,Common,A timepiece on the wrist,"clock, rolex, digital, hands, ticking, chronometer",
,Niche,A shift or guard duty,"nightwatch, patrol, lookout, surveillance, sentry",
,Rare,A grouping of sailors,"nautical, shift, crew-rotation, starboard-watch",
,Unicorn,"A ritual ""wake""","vigil, staying awake, mourning, death-watch",
Dress,Common,A one-piece garment,"skirt, gown, frock, clothing, apparel, fashion",
,Common,To put on clothes,"get ready, attire, outfit, wear (Verb)",
,Niche,To prepare food (Salad/Meat),"dressing, sauce, oil, garnish, pluck, butcher",
,Rare,To treat a wound,"bandage, medical, gauze, wrap, clean, sterile",
,Unicorn,To align in a straight line,"military-drill, ""dress right,"" formation, parade",
,Unicorn,Window display (Retail),"visuals, storefront, ""window dressing,"" styling",
Game,Common,A recreational activity,"play, sport, match, fun, competition, contest",
,Common,Wild animals hunted for food,"venison, meat, hunting, forest, pheasant, deer",
,Niche,A single unit of play (Tennis),"set, match, points, deuce, frame, round",
,Rare,To manipulate a system,"exploit, cheat, ""game the system,"" loophole",
,Unicorn,Willing/Ready for a task,"brave, courageous, ""game for it,"" plucky, spirited",
,Unicorn,"Lame or injured (e.g. ""game leg"")","limp, crippled, hurt, stiff, walking, disability",
Sound,Common,Something heard,"noise, audio, volume, ear, acoustic, listen",
,Common,Solid or healthy,"safe, stable, reliable, ""sound mind,"" sturdy",
,Niche,"A long, wide ocean inlet","bay, geography, fjord, strait, water, channel",
,Rare,To measure depth of water,"plumb, nautical, lead-line, sonar, deep-sea",
,Unicorn,Deep or undisturbed (Sleep),"rest, heavy, REM, ""sound asleep,"" peaceful",
Club,Common,A social group or organization,"association, membership, hobby, team, society",
,Common,A heavy hitting weapon,"baton, bludgeon, mace, stick, caveman, strike",
,Niche,A suit in a deck of cards,"spades, hearts, diamonds, clover, gambling",
,Rare,Nightlife venue,"disco, dancing, music, rave, bar, nightlife",
,Unicorn,To combine resources (Verb),"pool, ""club together,"" share costs, joint",
,Unicorn,Golf equipment,"iron, wood, driver, putter, wedge, fairway",
Arms,Common,Upper limbs of the body,"hands, shoulders, biceps, reach, anatomy",
,Common,Weapons / Weaponry,"guns, rifles, munitions, fire-arms, arsenal",
,Niche,Military branches,"combat, navy, air force, ""call to arms""",
,Rare,Heraldry or family crest,"coat of arms, shield, genealogy, emblem, banner",
,Unicorn,Side pieces of a chair,"furniture, support, rest, seating, frame",
Hand,Common,Part of the arm,"fingers, palm, wrist, touch, grab",
,Common,To pass or give,"deliver, ""hand over,"" transfer, bestow",
,Niche,Cards held by a player,"poker, deal, deck, hidden, bluff",
,Rare,A unit of measurement for horses,"height, equestrian, 4-inches, equine, size",
,Unicorn,A worker or sailor,"deckhand, laborer, staff, ""all hands,"" crew",
,Unicorn,Applause,"clapping, ""give a hand,"" ovation, cheers",
Light,Common,Something that illuminates,"lamp, sun, bulb, brightness, glow",
,Common,Not heavy (Weight),"weightless, airy, feather, portable, slim",
,Niche,Pale in color,"soft, pastel, tint, blonde, washed-out",
,Rare,To ignite or set fire,"flame, kindle, match, spark, burning",
,Unicorn,"To land or settle (e.g. ""alight"")","perch, bird, descend, ""light upon,"" landing",
Rock,Common,A stone or mineral,"boulder, pebble, geology, earth, solid",
,Common,A genre of music,"guitar, band, roll, heavy, loud, concert",
,Niche,To move back and forth,"cradle, swing, sway, rhythm, soothing",
,Rare,A large diamond (Slang),"jewelry, ice, engagement, ring, gemstone",
,Unicorn,To shock or unsettle,"shake, ""rocked the world,"" disturb, jarring",
,Unicorn,Hard candy (British),"sweets, seaside, sugar-stick, peppermint",
